Marca,Modelo,Imagen,Consumo_en_modo_encendido_en_el_rango_dinámico_normal_SDR,Clase_de_eficiencia_energetica_en_el_modo_de_alto_rango_dinamico_HDR,Consumo_en_modo_encendido_para_el_alto_rango_dinámico_HDR,Tipo
 Samsung , GQ65QN85BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 101, G, 148, Televisión
 Samsung , S24R35AFHU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 21, -, -, Monitor
 NEC , M431 PG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 68,4", G," 62,4", Señalización
 Samsung , UE75BU8072U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 156, G, 235, Televisión
 Samsung , UE85BU8000K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 186, G, 289, Televisión
 Samsung , UE70BU8002K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 140, G, 201, Televisión
 Samsung , UE55BU8070U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 93, G, 130, Televisión
 Samsung , UE55BU8570U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 93, G, 130, Televisión
 Samsung , UE43BU8502K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 72, G, 100, Televisión
 Samsung , GU50BU8579U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 78, G, 110, Televisión
 Samsung , GQ65QN700BT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 219, G, 305, Televisión
 Samsung , GQ50LS03BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 87, G, 127, Televisión
 Samsung , QE50LS03BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 87, G, 127, Televisión
 Samsung , GQ55LS03BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 103, G, 191, Televisión
 Samsung , GQ43QN90BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 60, G, 120, Televisión
 Samsung , GQ75Q80BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 172, G, 357, Televisión
 Samsung , GQ43LS03BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 74, G, 127, Televisión
 Samsung , GQ65LS01BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 118, G, 190, Televisión
 Samsung , GQ55LS01BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 110, G, 161, Televisión
 Samsung , GQ65QN92BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 111, G, 227, Televisión
 Samsung , UE85BU8002K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 186, G, 289, Televisión
 Samsung , GU70BU8079U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 140, G, 201, Televisión
 Samsung , UE65BU8502K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 124, G, 182, Televisión
 GRUNDIG , 50 VCE 222 DKG000 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 69, G, 89, Televisión
 GRUNDIG , 50 VCE 220 DDL000 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 72, G, 93, Televisión
 DELL , G3223Q ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 33,7", G," 36,3", Monitor
 XORO , PTL 1050 V2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 6,6", -, -, Televisión
 BLAUPUNKT , 32H2322Cx ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 25, -, -, Televisión
 BLAUPUNKT , BN40F1372EEB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 36, -, -, Televisión
 JVC , LT-65VA7200 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 85, G, 149, Televisión
 BLAUPUNKT , 32H2352Cx ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 25, -, -, Televisión
 UNITED , UN3232LE ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 32, -, -, Televisión
 F&U , FLA4220UH ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 48, F, 48, Televisión
 DELL , G3223D ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 33, G, 60, Monitor
 Adesas.r.l. , AD6518W ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png," 132,7", -, -, Monitor
 VSTOUCH ," 6519 65"" 4K SMARTBOARD ",https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png," 124,8", -, -, Monitor
 IIYAMA CORPORATION , XU2492HSU-B1 F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 14,5", -, -, Monitor
 IIYAMA CORPORATION , XUB2492HSU-B1 F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 14,5", -, -, Monitor
 IIYAMA CORPORATION , XUB2492HSU-W1 F ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png," 14,5", -, -, Monitor
 Continental Edison , CELED32SA22B6 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 26, -, -, Televisión
 VSTOUCH , 7518 75” 4K SMARTBOARD ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 195,6", -, -, Monitor
 LG Electronics Inc. , OLED83C29LA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 150, G, 314, Televisión
 TCL , 55C631X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 75, G, 130, Televisión
 HKC , 50D1-A3EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 65, -, -, Televisión
 acer , PG241Y P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 21, -, -, Monitor
 TCL , 55C635X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 75, G, 130, Televisión
 LG Electronics Inc. , OLED83C26LA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 150, G, 314, Televisión
 LG Electronics , 43UH5J ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 68,4", -, -, Señalización
 acer , ED323QU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 34,7", G," 46,3", Monitor
 CHiQ , L32G7LX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 33, G, 33, Televisión
 realme , RMV2005 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 86, G, 86, Televisión
 IIYAMA CORPORATION , XCB3494WQSN-B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 41,3", G, 62, Monitor
 TCL , 50C631X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 75, G, 118, Televisión
 realme , RMT101 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 33, G, 33, Televisión
 TCL , 50C635X1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 75, G, 118, Televisión
 LG Electronics Inc. , 86QNED813QA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 171, G, 279, Televisión
 LG Electronics Inc. , 86QNED816QA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 171, G, 279, Televisión
 LG Electronics Inc. , 86QNED819QA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 171, G, 279, Televisión
 DELL , S2723HC ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,3", -, -, Monitor
 TELEFUNKEN , 55DTAQ622 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, F, 77, Televisión
 VANGUARD , V32H4000 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 32, -, -, Televisión
 Telefunken , 43DTAQ622 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 54, G, 54, Televisión
 acer , ED273U P ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 29, G, 31, Monitor
 TECHWOOD , TK65UHDS21B-2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 109, G, 149, Televisión
 Dahua , DHI-LDH32-SAI200K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 32, -, -, Señalización
 HIKVISION , DS-D5B65RB/A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png," 132,6", -, -, Otros
 VANGUARD , V50U6020S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 71, G, 98, Televisión
 GRUNDIG , 43 VCE 222 DKH000 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 66, G, 86, Televisión
" Shenzhen Kenowa Electronics Co.,Ltd. ", HD- ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png," 3,9", -, -, Monitor
 BLAUPUNKT , BN32H1372EEB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 26, -, -, Televisión
 Samsung , GQ85Q71AAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 141, G, 299, Televisión
 APPLE , A2525 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 21,2", -, -, Monitor
 LG Electronics Inc. , OLED83G29LA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 150, G, 351, Televisión
 GAMEPOWER , WQ35 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 41, G, 53, Monitor
 ViewSonic , VS18789 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 233, -, -, Monitor
 ViewSonic , VS18791 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 286, -, -, Monitor
 GAMEPOWER , WQ49 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 50, G, 70, Monitor
 PHILIPS , 32E1N3600LA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 38, -, -, Monitor
 ViewSonic , VS18786 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 170, -, -, Monitor
 LG Electronics , 24TQ510S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,7", -, -, Televisión
 HIKVISION , DS-62M24FH-C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 15,8", -, -, Monitor
 LG Electronics , 24TQ520S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png," 17,7", -, -, Televisión
 HYUNDAI , 42 HYN 7710 UHD ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png, 40, G, 92, Televisión
 Samsung , QE85Q60BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 145, G, 269, Televisión
 RCA , RS50F3 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 64, -, -, Televisión
 VANGUARD , V40F5000S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 45, G, 75, Televisión
 Samsung , QE65Q75BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 96, G, 219, Televisión
 Samsung , GQ85Q60BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 145, G, 269, Televisión
 HYUNDAI , 50 HYN 7710 UHD ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 71, G, 98, Televisión
 Samsung , UE75BU8000K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 156, G, 235, Televisión
 Samsung , UE85BU8072K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 186, G, 289, Televisión
 Samsung , S43BM700UU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 65, G, 125, Monitor
 Samsung , UE65BU8005K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 124, G, 182, Televisión
 Samsung , UE75BU8005K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 156, G, 235, Televisión
 Samsung , GU85BU8079U ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 186, G, 289, Televisión
 Samsung , QE65QN800BT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 248, G, 437, Televisión
 Samsung , UE60BU8005K ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 110, G, 172, Televisión
 Samsung , HG50AU800EA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 87, G, 124, Televisión
 Samsung , HG65AU800EA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 136, G, 200, Televisión
 Samsung , HG75AU800EA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png, 172, G, 253, Televisión
