Brand,Model,Imagen,Contenido,Contenido1,Contenido2,Contenido10,Contenido11,Contenido12
 FRANKE                                                                                     , 110.0378.707                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png,Consumo anual de energía," 56,8", kWh/año ,Ruido, 63, dB 
 BEKO , CTB6407X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía, 70, kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 110.0150.623                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía, 138, kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0042.536                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 158,5", kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0200.670 FTC912XSL                                                                                                                                                                                   ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 88,4", kWh/año ,Ruido, 69, dB 
 FRANKE                                                                                     , 110.0043.421                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía, 138, kWh/año ,Ruido, 63, dB 
 FRANKE                                                                                     , 110.0196.072                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 136,8", kWh/año ,Ruido, 67, dB 
 Faber , 110.0332.308 P2235                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-Yellow.png,Consumo anual de energía," 76,5", kWh/año ,Ruido, 65, dB 
 Faber , 110.0332.307 P2236                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-Yellow.png,Consumo anual de energía," 76,5", kWh/año ,Ruido, 65, dB 
 FABER                                                                                      , 110.0261.785 P0221                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 124,1", kWh/año ,Ruido, 67, dB 
 FABER                                                                                      , 110.0261.786 P0221                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 124,1", kWh/año ,Ruido, 67, dB 
 FABER                                                                                      , 110.0332.307 P1300                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 95,1", kWh/año ,Ruido, 67, dB 
