Type,Title,eclrow2,Content,eclrow5,Content6,Image
 Mitsubishi Electric , VL-250CZPVU-L-ERT ,Annual Electricity Consumption," 1,8",Maximum flow rate, 285,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  360 W ,Annual Electricity Consumption, 2,Maximum flow rate, 356,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 inVENTer , 1001-0223 iV-Smart+ Nordic ,Annual Electricity Consumption," 0,8",Maximum flow rate, 58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 inVENTer , 1001-0226 inVENTer iV14-Zero Nordic ,Annual Electricity Consumption," 0,8",Maximum flow rate, 58,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 inVENTer , 1001-0232 inVENTer iV-Twin+ Nordic ,Annual Electricity Consumption, 1,Maximum flow rate, 23,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 inVENTer , 1001-0229 inVENTer iV14-MaxAir Nordic  ,Annual Electricity Consumption," 0,8",Maximum flow rate, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Helios Ventilatoren GmbH + Co KG , KWL 200 W L ,Annual Electricity Consumption," 3,3",Maximum flow rate, 166,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Helios Ventilatoren GmbH + Co KG , KWL  300 W R ,Annual Electricity Consumption," 4,1",Maximum flow rate, 275,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  500 W R ,Annual Electricity Consumption," 3,8",Maximum flow rate, 490,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Heliosventilatoren GmbH + Co KG , KWL  340 D L ,Annual Electricity Consumption," 3,1",Maximum flow rate, 355,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
