Type,Title,eclrow15,Content16,eclrow11,Content12,Image
 HAJDU , Z150S ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 706,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ150 ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 808,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , ZV200 ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 457,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z200S ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 369,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , LC300B ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , SC150 S ,Annual fuel consumption, -,Annual electricity consumption , 1 435,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ10F ,Annual fuel consumption, -,Annual electricity consumption , 568,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , SC150 ErP ,Annual fuel consumption, -,Annual electricity consumption , 1 435,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z150 SMART ,Annual fuel consumption, -,Annual electricity consumption , 2 583,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , C200S ,Annual fuel consumption, -,Annual electricity consumption , 2 559,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z50ESD ,Annual fuel consumption, -,Annual electricity consumption , 1 396,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , F50 ,Annual fuel consumption, -,Annual electricity consumption , 1 409,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , SC150 S ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , SC200 S ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 467,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z80EK-1 ,Annual fuel consumption, -,Annual electricity consumption , 1 447,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , SC100H ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 611,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , ZV120 ,Annual fuel consumption, -,Annual electricity consumption , 2 806,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , F120 ,Annual fuel consumption, -,Annual electricity consumption , 2 799,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , S150 ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , AF-80-18-1 ,Annual fuel consumption, -,Annual electricity consumption , 1 447,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , LC100 B ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , LC100 B ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , LC200 B ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 467,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , C150S ,Annual fuel consumption, -,Annual electricity consumption , 2 621,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z30ESD ,Annual fuel consumption, -,Annual electricity consumption , 561,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ 30 ,Annual fuel consumption, -,Annual electricity consumption , 585,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ30 ErP ,Annual fuel consumption, -,Annual electricity consumption , 585,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z50ErP ,Annual fuel consumption, -,Annual electricity consumption , 1 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ80 ErP ,Annual fuel consumption, -,Annual electricity consumption , 1 447,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , F80 ,Annual fuel consumption, -,Annual electricity consumption , 1 448,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , SC100 S ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
