Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
 L'ARTISTICO , APOLLO 15 ,Direct heat output," 15,3",Indirect heat output, -,Energy Efficiency Index, 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , SIRIUS 11 ,Direct heat output," 10,7",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Manufacturas Rocal S.A , ARc 93 TC ,Direct heat output," 12,1",Indirect heat output, -,Energy Efficiency Index, 105,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Justus GmbH , Usedom 5 III ,Direct heat output," 5,5",Indirect heat output, -,Energy Efficiency Index, 107,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Justus GmbH , Usedom 5 D II ,Direct heat output," 5,5",Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Justus GmbH , Baltrum 5 D II ,Direct heat output," 5,5",Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 WAMSLER , TYP18813 TOMO GUSS 9KW (KAZAN) ,Direct heat output, 9,Indirect heat output, -,Energy Efficiency Index, 103,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 WAMSLER , TYP18815 ROCKY GUSS 7KW (REMILLY) ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 105,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Solzaima , Pine 12 kW ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Solzaima , K2 12 kW ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 RedPod , First Hydro 13kW ,Direct heat output, 13,Indirect heat output," 11,5",Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Solzaima , Aspen 12 kW ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Solzaima , Fuji 12 kW ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 RedPod , First 12kW ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Solzaima , Himalaia 12 kW ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 CASATELLI , MARIO 8 E ,Direct heat output," 8,6",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E128 A BCS MF ,Direct heat output, 11,Indirect heat output, -,Energy Efficiency Index, 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Hase , Basilia ,Direct heat output, 6,Indirect heat output, -,Energy Efficiency Index, 107,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , INTRA SM BL SLIM ,Direct heat output," 6,7",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , INTRA SM BL SLIM G ,Direct heat output," 6,7",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , INTRA SM BP SLIM ,Direct heat output," 6,7",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Stanley , Ardmore Eco ,Direct heat output," 7,4",Indirect heat output, -,Energy Efficiency Index, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ROYAL , ILENA E AIR 80 ,Direct heat output," 8,6",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ROYAL , ROBERTA E AIR 80 ,Direct heat output," 8,6",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E128 BCS MF ,Direct heat output, 11,Indirect heat output, -,Energy Efficiency Index, 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
