Type,Title,eclrow,Content,eclrow2,eclrow3,eclrow5,eclrow6,eclrow7,eclrow8,eclrow9,eclrow10,Image
 Electrolux Professional , EJ2K3AAXXW 9VTX715027 ,Annual energy consumption, 1 600, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 160,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EJ4H3BAAAT 9VTX715109 ,Annual energy consumption, 1 000, kWh/annum ,Volume (Chilled), 300, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Zanussi Professional , ZJ2K1BA 9VTX715107 ,Annual energy consumption, 2 190, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 133,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Zanussi Professional , ZJ3K1AAA 9VTX715028 ,Annual energy consumption, 2 195, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 242,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Zanussi Professional , ZJ3K3AAA 9VTX715108 ,Annual energy consumption, 2 195, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 242,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow.png
 Electrolux Professional , EHR3BR 9VTX715160 ,Annual energy consumption, 560, kWh/annum ,Volume (Chilled), 310, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
 Electrolux Professional , EC7R3BR 9VTX714199 ,Annual energy consumption, 610, kWh/annum ,Volume (Chilled), 271, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
 Electrolux Professional , EHR3BR 9VTX715022 ,Annual energy consumption, 560, kWh/annum ,Volume (Chilled), 310, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
 Electrolux Professional , EC7R2BR 9VTX714201 ,Annual energy consumption, 597, kWh/annum ,Volume (Chilled), 124, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EHR2BL 9VTX715068 ,Annual energy consumption, 641, kWh/annum ,Volume (Chilled), 124, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EC7R4BL 9VTX715095 ,Annual energy consumption, 916, kWh/annum ,Volume (Chilled), 362, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EHR2BL 9VTX715111 ,Annual energy consumption, 683, kWh/annum ,Volume (Chilled), 94, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EHR4BL 9VTX715083 ,Annual energy consumption, 824, kWh/annum ,Volume (Chilled), 261, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EHR2BR 9VTX715092 ,Annual energy consumption, 641, kWh/annum ,Volume (Chilled), 124, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Zanussi Professional , ZHR4BL 9VTX715103 ,Annual energy consumption, 900, kWh/annum ,Volume (Chilled), 329, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EHR4BR 9VTX715116 ,Annual energy consumption, 870, kWh/annum ,Volume (Chilled), 304, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EC7R4BR 9VTX714200 ,Annual energy consumption, 916, kWh/annum ,Volume (Chilled), 362, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EC7R4BR 9VTX715031 ,Annual energy consumption, 916, kWh/annum ,Volume (Chilled), 362, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
