Type,Title,eclrow,eclrow1,eclrow2,Content,eclrow4,Image,eclrow5,eclrow7,eclrow8
 ATLANTIC , 412278 ,Typology, Unidirectional Ventilation Unit,Annual Electricity Consumption, 62, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 355, m3/h 
 ATLANTIC , 412279 ,Typology, Unidirectional Ventilation Unit,Annual Electricity Consumption, 50, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 297, m3/h 
 ATLANTIC , 412280 ,Typology, Unidirectional Ventilation Unit,Annual Electricity Consumption, 62, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 355, m3/h 
 BSK Ventilation , BRHR-100 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 167, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 175, m3/h 
 Blauberg , Vento Eco A50 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 197, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Eco A50-4 Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 179, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Eco A50-4 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 179, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Eco2 A50 S Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 177, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 50, m3/h 
 Blauberg , Vento Eco2 A50-4 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 162, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 50, m3/h 
 Blauberg , Vento Ergo A25-1 Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 380, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 13, m3/h 
 Blauberg , Vento Ergo A50 S Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 204, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 26, m3/h 
 Blauberg , Vento Ergo A50-1 Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 226, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Blauberg , Vento Ergo A85 S Pro1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Blauberg , Vento Ergo A85-1 Pro ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Blauberg , Vento Expert A85-1 W V.2 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 160, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 33, m3/h 
 Vents , TwinFresh Comfo RA1-25 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 380, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 12, m3/h 
 Vents , TwinFresh Comfo RA1-85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Vents , TwinFresh Comfo RA-50 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 204, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 27, m3/h 
 Vents , TwinFresh Comfo RA-85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 161, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Vents , TwinFresh Easy RL-50 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 225, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Vents , TwinFresh Easy RL7-50 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 179, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Vents , TwinFresh Easy-D RA4-50 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 181, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 50, m3/h 
