Brand,Model,Imagen,Consumo_energético_por_ciclo_Modo_convencional__kWh_ciclo,Consumo_energético_por_ciclo_Modocirculacion_forzada__kWh_ciclo,Consumo_energético_por_ciclo_Modo_convencional_GAS__MJ_ciclo,Consumo_energético_por_ciclo_Modo_circulación_forzada_GAS__MJ_ciclo
 Falcon , PDL110EICR/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Rangemaster , ELS100EICR/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS110EICR/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , ELS100EISS/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS100EIWH/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS110EICR/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS100EICA/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 WHIRLPOOL , AKP 461/NB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,87"," 0,78", -, -
 WHIRLPOOL , AKP 460/IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,78"," 0,87", -, -
 WHIRLPOOL , AKP 461/IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,87"," 0,78", -, -
 WHIRLPOOL , AKP 460/NB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,78"," 0,87", -, -
 WHIRLPOOL , AKP 461/WH ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,87"," 0,78", -, -
 AMICA , ACI5007B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,87", -, -
 AMICA , ACV5007B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,87", -, -
 FINLUX , FBO.30N4 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,78", -, -, -
 FINLUX , FBO.19X5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,83"," 0,75", -, -
 Beko , BDVC563AK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,84", -, -
 LEISURE , GRB6FVK 7722586307 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,82", -, -
 SMEG , SCB60MX9 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,8"," 3,56"," 2,88"
 FLAVEL , FSBE50W 7787286301 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,76", -, -, -
 Beko , BS530W ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,85", -, -, -
 Beko , BS530S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,85", -, -, -﻿Brand,Model,Imagen,Consumo_energético_por_ciclo_Modo_convencional__kWh_ciclo,Consumo_energético_por_ciclo_Modocirculacion_forzada__kWh_ciclo,Consumo_energético_por_ciclo_Modo_convencional_GAS__MJ_ciclo,Consumo_energético_por_ciclo_Modo_circulación_forzada_GAS__MJ_ciclo
 Beko , BDV555AW ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,84", -, -
 Beko , BDV555AS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,84", -, -
 Beko , BDVC563AW ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,84", -, -
 SMEG , CG92PX9 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,8"," 3,92"," 2,88"
 WHIRLPOOL , AKZM 6520/IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,91"," 0,7", -, -
 Electrolux , EOA5551DOX 944184324 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Electrolux , EEA4545POX 944184323 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Rangemaster , CDL100DFFOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL100DFFRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL110DFFOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL110DFFRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , CDL110ECRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL90ECOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL90ECRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Rangemaster , CDL110ECRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL110EIOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , CDL110DFOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Rangemaster , CDL100EIRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL90DFFRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL90ECRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL90EIRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , CDL100DFRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL100EIRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL110DFRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL110ECOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL90DFRP/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Rangemaster , CDL100EIOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , CDL90EIOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Rangemaster , CDL110ECOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL110EIRP/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL90DFFOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL90ECOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , CDL90EIOG/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , CDL100DFOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL100EIOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , CDL110EIOG/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
