Type,Title,eclrow,Content,eclrow3,Content4,Image
 KWB Kraft und Wärme aus Biomasse GmbH ,  KWB Pelletfire Plus Typ MF2 ER 55 ,Rated heat output, 55,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Pelletfire Plus Typ MF2 R 70 ,Rated heat output, 69,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 ER 70 ,Rated heat output, 69,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 R 65 ,Rated heat output, 65,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 R 60 ,Rated heat output, 60,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH ,  KWB Pelletfire Plus Typ MF2 ER 50 ,Rated heat output, 50,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Pelletfire Plus Typ MF2 R 65 ,Rated heat output, 65,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Pelletfire Plus Typ MF2 R 55 ,Rated heat output, 55,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , BIO SLIM 25_ver.2021 ,Rated heat output, 25,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EKO SLIM 15 ver. 2021 ,Rated heat output, 15,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Easyfire Typ EF2 12 ,Rated heat output, 12,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Easyfire Typ EF2 15 ,Rated heat output, 15,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH ,  KWB Pelletfire Plus Typ MF2 ER 65 ,Rated heat output, 65,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 ER 65 ,Rated heat output, 65,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 ER 45 ,Rated heat output, 45,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 R 45 ,Rated heat output, 45,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Easyfire EF2 22 ,Rated heat output, 22,Energy efficiency index (EEI), 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH ,  KWB Pelletfire Plus Typ MF2 ER 70 ,Rated heat output, 69,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Pelletfire Plus Typ MF2 R 50 ,Rated heat output, 50,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 R 50 ,Rated heat output, 50,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 R 40 ,Rated heat output, 40,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 KWB Kraft und Wärme aus Biomasse GmbH , KWB Multifire Typ MF2 E 45 ,Rated heat output, 45,Energy efficiency index (EEI), 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
" ""FIRMA MERING"" Tadeusz Mering ", EKO-MG PLUS 38 kW ,Rated heat output, 38,Energy efficiency index (EEI), 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
" ""FIRMA MERING"" Tadeusz Mering ", EKO-MG Plus 55 kW ,Rated heat output, 55,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON F 15 ,Rated heat output, 15,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON 10 ,Rated heat output, 10,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON F 25 ,Rated heat output, 25,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON F 20 ,Rated heat output, 20,Energy efficiency index (EEI), 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON 15 ,Rated heat output, 15,Energy efficiency index (EEI), 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON 25 ,Rated heat output, 25,Energy efficiency index (EEI), 118,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
 DEFRO Spółka z ograniczoną odpowiedzialnością Spółka komandytowa  , EPSILON F 10 ,Rated heat output, 10,Energy efficiency index (EEI), 117,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png
