,Type,Brand,Model,Type_consumption,Consumption,Label,Other
10759,TV/Monitor, Oceanic , OCEALED40120B2V2 ,W,0.037,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10760,TV/Monitor, acer , QG221Q ,W,0.019,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10761,TV/Monitor, Digihome , 32HW201 ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10762,TV/Monitor, GAME , M27EC2 ,W,0.0259,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10763,TV/Monitor, Digihome , 55UAN201 ,W,0.082, G,HDR
10764,TV/Monitor, Digihome , 43UAN201 ,W,0.054, G,HDR
10765,TV/Monitor, Hitachi , U55K6100 ,W,0.123, G,HDR
10766,TV/Monitor, Hitachi , U43K6100 ,W,0.088, G,HDR
10767,TV/Monitor, KEEP-OUT GAMING , XGM24V3 ,W,0.016300000000000002,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10768,TV/Monitor, Finlux , FX43551B40Q2H ,W,0.042,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10769,TV/Monitor, Digihome , 24HW201 ,W,0.022,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10770,TV/Monitor, Digihome , 32HW202W ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10771,TV/Monitor, PROCASTER , 50A900H ,W,0.071, G,HDR
10772,TV/Monitor, JTC , GT18-S32H5112J ,W,0.031,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10773,TV/Monitor, Panasonic , TX-75HX940E ,W,0.217, G,HDR
10774,TV/Monitor, Panasonic , TX-49HXX979 ,W,0.121, G,HDR
10775,TV/Monitor, AOC , Q24P2Q ,W,0.0184,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10776,TV/Monitor, EAS ELECTRIC SMART TECHNOLOGY , E65AN90G ,W,0.134, G,HDR
10777,TV/Monitor, AOC , Q27P2Q ,W,0.0259,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10778,TV/Monitor, GRUNDIG , 40 VLE 6910 BP TFD000 ,W,0.046,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10779,TV/Monitor, GRUNDIG , 43 GFB 6900 SWG000 ,W,0.051,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10780,TV/Monitor, GRUNDIG , 32 GHB 600 SXG000 ,W,0.033,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10781,TV/Monitor, GRUNDIG , 43 VLE 6910 BP STK000 ,W,0.051,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10782,TV/Monitor, GRUNDIG , 32 VLE 6910 BP STL000 ,W,0.033,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10784,TV/Monitor, GRUNDIG , 43 GFB 600 SXH000 ,W,0.051,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10785,TV/Monitor, GRUNDIG , 43 GFB 6946 SXM000 ,W,0.051,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10786,TV/Monitor, SUNNY , SN40DIL010/0206 ,W,0.048,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png,SDR
10787,TV/Monitor, JVC , LT-65K800(A) ,W,0.149, G,HDR
10788,TV/Monitor, JVC , LT-65K800 ,W,0.149, G,HDR
10789,TV/Monitor, acer , PM161Q ,W,0.007,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,SDR
10790,TV/Monitor, GRUNDIG , 32 GHB 5026 TKG000 ,W,0.033,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10791,TV/Monitor, DELL , S2421HGF ,W,0.0171,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10792,TV/Monitor, Panasonic , TX-75HX940B ,W,0.217, G,HDR
10793,TV/Monitor, TOSHIBA , 58UK4B63DB ,W,0.11, G,HDR
10794,TV/Monitor, DIGIQUEST SOLUTION SRL , TV00051 ,W,0.031,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10795,TV/Monitor, GRUNDIG , 49 GEU 8800A TQZ000 ,W,0.113, G,HDR
10796,TV/Monitor, TOSHIBA , 43UK4B63DB ,W,0.088, G,HDR
10798,TV/Monitor, Lenovo , Y25-25(D19245FY0) ,W,0.019,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10799,TV/Monitor, HITACHI , 32F52HAE2252 ,W,0.032, F,HDR
10800,TV/Monitor, electriQ , eiQ-32HDT2DVD ,W,0.0316,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10801,TV/Monitor, HIGH ONE , 965364_HI5503UHD-MM ,W,0.109,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png,SDR
10802,TV/Monitor, HITACHI , 43F52HK5600 ,W,0.088, G,HDR
10803,TV/Monitor, TECHWOOD , TK43UHDADITM20 ,W,0.054, G,HDR
10804,TV/Monitor, PROCASTER , 65A900H ,W,0.073, G,HDR
10805,TV/Monitor, GRUNDIG , 32 VLE 4820 TXX000 ,W,0.033,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10806,TV/Monitor, SCHONTECH , 32DH20SCH ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10807,TV/Monitor, TOSHIBA , 43UA2063DG ,W,0.054, G,HDR
10808,TV/Monitor, Samsung , HG43ET690UA ,W,0.11, G,HDR
10809,TV/Monitor, TOSHIBA , 43LA3B63DG ,W,0.042, E,HDR
10810,TV/Monitor, acer , KG242Y ,W,0.016,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10811,TV/Monitor, acer , KG241Y ,W,0.016,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10812,TV/Monitor, AOC , 27E2QAE ,W,0.018, E,HDR
10813,TV/Monitor, acer , KG272 ,W,0.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10814,TV/Monitor, Toshiba , 43LA2B63DG ,W,0.042, E,HDR
10815,TV/Monitor, acer , KG271 ,W,0.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
10816,TV/Monitor, acer , KG272 S ,W,0.049, G,HDR
10817,TV/Monitor, TOSHIBA , 32WA2B63DG ,W,0.032, F,HDR
10818,TV/Monitor, acer , KG241Y P ,W,0.038, G,HDR
10819,TV/Monitor, Toshiba , 32LA2B63DG ,W,0.032, F,HDR
10820,TV/Monitor, acer , KG271 S ,W,0.049, G,HDR
10821,TV/Monitor, acer , KG251Q ,W,0.022600000000000002,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
10822,TV/Monitor, acer , KG271 LV ,W,0.04, G,HDR
10823,TV/Monitor, acer , KG241Q P ,W,0.038, G,HDR
10824,TV/Monitor, acer , KG242Y P ,W,0.038, G,HDR
10825,TV/Monitor, acer , KG272 LV ,W,0.04, G,HDR
10826,TV/Monitor, acer , KG271U ,W,0.032100000000000004,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png,SDR
10827,TV/Monitor, HIGH ONE , 964817_HI5001UHD-MM ,W,0.085,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png,SDR
10828,TV/Monitor, JVC , LT-50C800 ,W,0.098, G,HDR
10829,TV/Monitor, acer , KG272U ,W,0.032100000000000004,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png,SDR
10830,TV/Monitor, acer , KG281K ,W,0.048, G,HDR
10831,TV/Monitor, acer , KG282K ,W,0.048, G,HDR
10832,TV/Monitor, Telefunken , D43U551R1CW ,W,0.088, G,HDR
10833,TV/Monitor, TCL , 32DD420X1 ,W,0.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,SDR
10834,TV/Monitor, TCL , 55P616X1 ,W,0.093, G,HDR
10835,TV/Monitor, TCL , 50C718X1 ,W,0.124, G,HDR
10836,TV/Monitor, Telefunken , D65V900M4CWH ,W,0.109, G,HDR
10837,TV/Monitor, Telefunken , D55V900M4CWH ,W,0.082, G,HDR
10838,TV/Monitor, TCL , 50QLED800X1 ,W,0.124, G,HDR
10839,TV/Monitor, HORIZON , 58HL7590U/B ,W,0.07, E,HDR
10840,TV/Monitor, HYUNDAI , 32 HYN 5700 B ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
