,Type,Brand,Model,Type_consumption,Label,Other,Consumption
3910,Water heaters, Itho Daalderop ," 03-00354 W/W Warmtepompmodule 4,5 kW individuele bron + 03-00455 WPV 200 ",Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XXL,1.312079701120797
3918,Water heaters, Chappee , 7681671 - TD SPLIT WH 150 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.1475538160469667
3919,Water heaters, Chappee , 7681672 - TD SPLIT WH 200 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.2806262230919765
3962,Water heaters, Bosch , 7736503484 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.805512263144943
3963,Water heaters, Buderus , 7736503493 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.805512263144943
4102,Water heaters, CLIVET , SWAN-2 190 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.3933463796477494
4103,Water heaters, CLIVET , SWAN-2 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.6511415525114155
4104,Water heaters, CLIVET , SWAN-A 190 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.3933463796477494
4105,Water heaters, ARISTON , NUOS EVO A+ 110 WH 3629057 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.8284800262488722
4106,Water heaters, CLIVET , SWAN-2 190S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.3933463796477494
4107,Water heaters, CLIVET , SWAN-2 300S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.6511415525114155
4108,Water heaters, CLIVET , SWAN-A 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, XL,1.6511415525114155
4109,Water heaters, CLIVET , SWAN 190 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.3933463796477494
