,Type,Brand,Model,Type_consumption,Consumption,Label,Other
2370,Water heaters, Bosch , 7736503525 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2371,Water heaters, Bosch , 7736503523 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2372,Water heaters, Bosch , 7735500581 ,Consumo anual de electricidad, 1 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2373,Water heaters, Bosch , 7735501467 ,Consumo anual de electricidad, 721,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2374,Water heaters, Bosch , 7736503522 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2375,Water heaters, Buderus , 7736503527 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2376,Water heaters, Buderus , 7735500583 ,Consumo anual de electricidad, 1 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2377,Water heaters, Bosch , 7735500582 ,Consumo anual de electricidad, 1 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2378,Water heaters, Buderus , 7735500584 ,Consumo anual de electricidad, 1 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2446,Water heaters, Flexit AS , Flexit EcoNordic WH4 ,Consumo anual de electricidad, 1 298,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2447,Water heaters, Buderus , 7738500924 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2453,Water heaters, Toshiba Carrier Corporation , HWS-G2601ENXR-E ,Consumo anual de electricidad, 1 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2454,Water heaters, Toshiba Carrier Corporation , HWS-G1901ENXR-E ,Consumo anual de electricidad, 703,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2455,Water heaters, Toshiba Carrier Corporation , HWS-G1901CNRR-E ,Consumo anual de electricidad, 703,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2456,Water heaters, Toshiba Carrier Corporation , HWS-G2601CNRR-E ,Consumo anual de electricidad, 1 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2457,Water heaters, Toshiba Carrier Corporation , HWS-G1901CNXR-E ,Consumo anual de electricidad, 703,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2458,Water heaters, THERMOR , 286038 ,Consumo anual de electricidad, 809,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2459,Water heaters, Toshiba Carrier Corporation , HWS-G2601CNXR-E ,Consumo anual de electricidad, 1 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2540,Water heaters, ARISTON , LYDOS HYBRID WI-FI 100 3629065 ,Consumo anual de electricidad, 652,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
2541,Water heaters, ARISTON , LYDOS HYBRID WI-FI 80 3629064 ,Consumo anual de electricidad, 613,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
2612,Water heaters, CLIMER , EH260TDH4 ,Consumo anual de electricidad, 1 572,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
2613,Water heaters, CLIMER , EH500TDS ,Consumo anual de electricidad, 2 137,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XXL
2711,Water heaters, CLIMER , EH200S ,Consumo anual de electricidad, 955,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
2717,Water heaters, EMMETI , EQ3018ES ,Consumo anual de electricidad, 1 293,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2800,Water heaters, EMMETI , EQ2018 ,Consumo anual de electricidad, 819,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2801,Water heaters, Chaffoteaux , AQUANEXT PERFORMANCE 240 3069657 ,Consumo anual de electricidad, 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
2802,Water heaters, Chaffoteaux , AQUANEXT PERFORMANCE 240 SYS 3069658 ,Consumo anual de electricidad, 1 470,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
2803,Water heaters, ARISTON , NUOS PRIMO 240 HC 3069654 ,Consumo anual de electricidad, 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
2804,Water heaters, ARISTON , NUOS PRIMO 240 SYS HC 3069655 ,Consumo anual de electricidad, 1 470,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
2805,Water heaters, ARISTON , NUOS PRIMO FAMILY 240 HC 3080391 ,Consumo anual de electricidad, 1 425,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
2806,Water heaters, ARISTON , NUOS PRIMO 200 HC 3069653 ,Consumo anual de electricidad, 912,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
2807,Water heaters, Chaffoteaux , AQUANEXT PERFORMANCE 200 3069656 ,Consumo anual de electricidad, 912,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
